episode_id,route,historical_episode_status,BP_id,pitch,BP_onset,stem_status,stem_candidate_id,stem_candidate_s,stem_minus_BP_ms,frozen_stem_score,fullmix_evidence,nearest_raw_fullmix_fronts_s,nearest_raw_front_is_salient,nearby_salient_fullmix_fronts_s,delta_FM_STEM_ms,classification,notes
HF001,SECURE_ROUTE,ABSTAIN_AMBIGUOUS,BP_0003,39,47.79928843537415,ABSTAIN_AMBIGUOUS,BP_0003_F2101776,47.65931972789115,-139.96870748299983,2.9963732623112863e-06,"{""flux_at_exact_stem_frame"": 0.007671479916914897, ""low_energy_pre"": 0.00027092714000584325, ""low_energy_post"": 0.003204521980237412, ""low_energy_log10_ratio"": 1.0729107423441429, ""RMS_pre"": 0.023346889416493148, ""RMS_post"": 0.06254242560527483, ""RMS_log10_ratio"": 0.42794569436962665, ""flux_rise_one_frame"": 0.0019213835183704737}",[47.65931972789115],[false],[],[],NO_CLEAR_FULLMIX_FRONT,Raw nearest peak is descriptive only; qualified flags are unvalidated salience cues. No new full-mix Bass timestamp selected.
HF001,SECURE_ROUTE,ABSTAIN_AMBIGUOUS,BP_0003,39,47.79928843537415,ABSTAIN_AMBIGUOUS,BP_0003_F2102040,47.665306122448975,-133.98231292517693,5.718266152609326e-07,"{""flux_at_exact_stem_frame"": 0.004775848008442499, ""low_energy_pre"": 0.0008855495168639803, ""low_energy_post"": 0.00247108152896839, ""low_energy_log10_ratio"": 0.4456742239681054, ""RMS_pre"": 0.030850166331943693, ""RMS_post"": 0.05548800876996128, ""RMS_log10_ratio"": 0.2549416301806511, ""flux_rise_one_frame"": 0.0007199044104760268}",[47.665306122448975],[false],[47.672290249433104],[6.984126984129091],FULLMIX_NEARBY_DISTINCT_FRONT,Raw nearest peak is descriptive only; qualified flags are unvalidated salience cues. No new full-mix Bass timestamp selected.
HF001,SECURE_ROUTE,ABSTAIN_AMBIGUOUS,BP_0003,39,47.79928843537415,ABSTAIN_AMBIGUOUS,BP_0003_F2102348,47.672290249433104,-126.99818594104784,7.421689147156927e-07,"{""flux_at_exact_stem_frame"": 0.008030772408492863, ""low_energy_pre"": 0.0016306014807794444, ""low_energy_post"": 0.0017602520540500098, ""low_energy_log10_ratio"": 0.03322702739268835, ""RMS_pre"": 0.04256640896836837, ""RMS_post"": 0.04616220091710336, ""RMS_log10_ratio"": 0.03521949357296824, ""flux_rise_one_frame"": 0.0004994167922276367}",[47.672290249433104],[true],[47.672290249433104],[0.0],FULLMIX_CORRESPONDING_FRONT,Raw nearest peak is descriptive only; qualified flags are unvalidated salience cues. No new full-mix Bass timestamp selected.
HF001,SECURE_ROUTE,ABSTAIN_AMBIGUOUS,BP_0003,39,47.79928843537415,ABSTAIN_AMBIGUOUS,BP_0003_F2102612,47.67827664399093,-121.01179138322493,3.892694130398343e-08,"{""flux_at_exact_stem_frame"": 0.0014290301011287802, ""low_energy_pre"": 0.002420037085375466, ""low_energy_post"": 0.0010620692009762846, ""low_energy_log10_ratio"": -0.3576692064066715, ""RMS_pre"": 0.053250286253238105, ""RMS_post"": 0.03951302051020108, ""RMS_log10_ratio"": -0.12958171681513383, ""flux_rise_one_frame"": 0.000361901913275179}",[47.67827664399093],[false],[47.672290249433104],[-5.986394557822905],FULLMIX_NEARBY_DISTINCT_FRONT,Raw nearest peak is descriptive only; qualified flags are unvalidated salience cues. No new full-mix Bass timestamp selected.
HF001,SECURE_ROUTE,ABSTAIN_AMBIGUOUS,BP_0003,39,47.79928843537415,ABSTAIN_AMBIGUOUS,BP_0003_F2102832,47.68326530612244,-116.02312925170821,2.454155870391454e-07,"{""flux_at_exact_stem_frame"": 0.008270190064748509, ""low_energy_pre"": 0.0029704634385700674, ""low_energy_post"": 0.0007964618727965987, ""low_energy_log10_ratio"": -0.5716592206627397, ""RMS_pre"": 0.06208686628422428, ""RMS_post"": 0.03527032800762014, ""RMS_log10_ratio"": -0.24559024167040694, ""flux_rise_one_frame"": 0.002452466780687416}",[47.68326530612244],[false],[47.672290249433104],[-10.975056689339624],FULLMIX_NEARBY_DISTINCT_FRONT,Raw nearest peak is descriptive only; qualified flags are unvalidated salience cues. No new full-mix Bass timestamp selected.
HF001,SECURE_ROUTE,ABSTAIN_AMBIGUOUS,BP_0003,39,47.79928843537415,ABSTAIN_AMBIGUOUS,BP_0003_F2103140,47.69024943310657,-109.03900226757912,1.0085557900647825e-08,"{""flux_at_exact_stem_frame"": 0.0018227753799474559, ""low_energy_pre"": 0.00394323261986666, ""low_energy_post"": 0.000741312533269485, ""low_energy_log10_ratio"": -0.725851055063641, ""RMS_pre"": 0.07084243418809316, ""RMS_post"": 0.030503628476246252, ""RMS_log10_ratio"": -0.3659419726509364, ""flux_rise_one_frame"": 9.681487086209291e-05}",[47.69024943310657],[false],[],[],NO_CLEAR_FULLMIX_FRONT,Raw nearest peak is descriptive only; qualified flags are unvalidated salience cues. No new full-mix Bass timestamp selected.
HF001,SECURE_ROUTE,ABSTAIN_AMBIGUOUS,BP_0003,39,47.79928843537415,ABSTAIN_AMBIGUOUS,BP_0003_F2103492,47.698231292517,-101.05714285715095,1.199134790168906e-07,"{""flux_at_exact_stem_frame"": 0.004796623936685185, ""low_energy_pre"": 0.004427165358671768, ""low_energy_post"": 0.0005748151363022744, ""low_energy_log10_ratio"": -0.886597547918428, ""RMS_pre"": 0.07612721884491368, ""RMS_post"": 0.029456291241648874, ""RMS_log10_ratio"": -0.41236189884793606, ""flux_rise_one_frame"": 0.002018699967387676}",[47.698231292517],[false],[],[],NO_CLEAR_FULLMIX_FRONT,Raw nearest peak is descriptive only; qualified flags are unvalidated salience cues. No new full-mix Bass timestamp selected.
HF001,SECURE_ROUTE,ABSTAIN_AMBIGUOUS,BP_0003,39,47.79928843537415,ABSTAIN_AMBIGUOUS,BP_0003_F2103624,47.70122448979591,-98.0639455782395,5.80298662689919e-07,"{""flux_at_exact_stem_frame"": 0.0052164869934294795, ""low_energy_pre"": 0.00448973395988286, ""low_energy_post"": 0.000578019753077604, ""low_energy_log10_ratio"": -0.8902779274296748, ""RMS_pre"": 0.07648948137925633, ""RMS_post"": 0.0294835061855719, ""RMS_log10_ratio"": -0.4140225876291379, ""flux_rise_one_frame"": -2.847926080104795e-05}",[47.70022675736961],[false],[],[],NO_CLEAR_FULLMIX_FRONT,Raw nearest peak is descriptive only; qualified flags are unvalidated salience cues. No new full-mix Bass timestamp selected.
HF001,SECURE_ROUTE,ABSTAIN_AMBIGUOUS,BP_0003,39,47.79928843537415,ABSTAIN_AMBIGUOUS,BP_0003_F2104196,47.714195011337864,-85.0934240362875,6.033042697574916e-07,"{""flux_at_exact_stem_frame"": 0.003466784564586195, ""low_energy_pre"": 0.00357469560350355, ""low_energy_post"": 0.00099489659723411, ""low_energy_log10_ratio"": -0.5554611206946859, ""RMS_pre"": 0.06891994217143504, ""RMS_post"": 0.036350409589389274, ""RMS_log10_ratio"": -0.2778355956043395, ""flux_rise_one_frame"": 0.0010813427778260378}",[47.714195011337864],[false],[],[],NO_CLEAR_FULLMIX_FRONT,Raw nearest peak is descriptive only; qualified flags are unvalidated salience cues. No new full-mix Bass timestamp selected.
HF001,SECURE_ROUTE,ABSTAIN_AMBIGUOUS,BP_0003,39,47.79928843537415,ABSTAIN_AMBIGUOUS,BP_0003_F2104592,47.7231746031746,-76.11383219955314,1.026668094937421e-07,"{""flux_at_exact_stem_frame"": 0.00023755144439339634, ""low_energy_pre"": 0.0027457340780155776, ""low_energy_post"": 0.0016094261377700356, ""low_energy_log10_ratio"": -0.23198742371359785, ""RMS_pre"": 0.057864574297823705, ""RMS_post"": 0.04548917870231891, ""RMS_log10_ratio"": -0.10450466661857007, ""flux_rise_one_frame"": 7.837654456822711e-05}",[47.7231746031746],[false],[],[],NO_CLEAR_FULLMIX_FRONT,Raw nearest peak is descriptive only; qualified flags are unvalidated salience cues. No new full-mix Bass timestamp selected.
